test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
AT1G01120	AT1G01120	KCS1	1:57268-59167	GL_12h_control	HL_12h_treatment	OK	56.3289	25.8977	-1.12105	-4.98113	5e-05	0.000354903	yes
AT1G01130	AT1G01130	AT1G01130	1:61904-63811	GL_12h_control	HL_12h_treatment	OK	4.64869	5.61599	0.272716	0.498317	0.48625	0.67405	no
AT1G01140	AT1G01140	CIPK9	1:64165-67625	GL_12h_control	HL_12h_treatment	OK	27.9903	26.5816	-0.0744979	-0.329289	0.63695	0.78968	no
AT1G01150	AT1G01150	AT1G01150	1:70114-72138	GL_12h_control	HL_12h_treatment	NOTEST	0.21396	0.0755543	-1.50176	0	1	1	no
AT1G01160	AT1G01160	GIF2	1:72338-74737	GL_12h_control	HL_12h_treatment	OK	24.4349	25.8818	0.0829954	0.230447	0.74665	0.86467	no
AT1G01170	AT1G01170	AT1G01170	1:72338-74737	GL_12h_control	HL_12h_treatment	OK	111.412	83.3437	-0.418759	-1.41729	0.0425	0.118999	no
AT1G01180	AT1G01180	AT1G01180	1:75582-76758	GL_12h_control	HL_12h_treatment	OK	10.2269	3.47901	-1.55562	-5.05702	5e-05	0.000354903	yes
AT1G01183	AT1G01183	MIR165A	1:78931-79032	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01190	AT1G01190	CYP78A8	1:83044-84864	GL_12h_control	HL_12h_treatment	OK	2.03928	0.629788	-1.69512	-3.66469	5e-05	0.000354903	yes
AT1G01200	AT1G01200	RABA3	1:86514-88213	GL_12h_control	HL_12h_treatment	OK	3.19242	2.59975	-0.296277	-0.757733	0.28105	0.476876	no
AT1G01210	AT1G01210	AT1G01210	1:88897-89745	GL_12h_control	HL_12h_treatment	OK	14.2215	15.6687	0.139806	0.478114	0.48585	0.673669	no
AT1G01220	AT1G01220	FKGP	1:91375-95651	GL_12h_control	HL_12h_treatment	OK	10.8151	10.775	-0.00535137	-0.0234595	0.9763	0.988026	no
AT1G01225	AT1G01225	AT1G01225	1:95986-97407	GL_12h_control	HL_12h_treatment	OK	4.48054	3.04334	-0.558019	-1.56337	0.03035	0.091181	no
AT1G01230	AT1G01230	AT1G01230	1:97455-99240	GL_12h_control	HL_12h_treatment	OK	28.3838	24.5153	-0.211388	-0.869906	0.21695	0.402393	no
AT1G01240	AT1G01240	AT1G01240	1:99893-101834	GL_12h_control	HL_12h_treatment	OK	8.86533	3.31995	-1.41701	-4.68431	5e-05	0.000354903	yes
AT1G01250	AT1G01250	ERF023	1:104490-105330	GL_12h_control	HL_12h_treatment	OK	2.38674	10.2595	2.10385	5.5962	5e-05	0.000354903	yes
AT1G01260	AT1G01260	BHLH13	1:108945-111609	GL_12h_control	HL_12h_treatment	OK	7.23335	8.08677	0.160899	0.66646	0.34055	0.541262	no
AT1G01270	AT1G01270	AT1G01270	1:111889-111961	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01280	AT1G01280	CYP703A2	1:112262-113947	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01290	AT1G01290	CNX3	1:114285-116108	GL_12h_control	HL_12h_treatment	OK	11.0196	12.2876	0.157133	0.59582	0.4006	0.598597	no
AT1G01300	AT1G01300	AT1G01300	1:116942-118764	GL_12h_control	HL_12h_treatment	OK	53.6422	25.774	-1.05745	-4.67998	5e-05	0.000354903	yes
AT1G01305	AT1G01305	AT1G01305	1:119396-119997	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01310	AT1G01310	AT1G01310	1:120153-130577	GL_12h_control	HL_12h_treatment	NOTEST	0.0492259	0.070641	0.521087	0	1	1	no
AT1G01320	AT1G01320	AT1G01320	1:120153-130577	GL_12h_control	HL_12h_treatment	OK	110.419	110.012	-0.00532382	-0.0202618	0.9772	0.988473	no
AT1G01340	AT1G01340	CNGC10	1:132327-135831	GL_12h_control	HL_12h_treatment	OK	3.89893	4.06988	0.0619077	0.22895	0.7403	0.861002	no
AT1G01350	AT1G01350	AT1G01350	1:136123-138162	GL_12h_control	HL_12h_treatment	OK	13.063	14.7975	0.179867	0.740201	0.298	0.495083	no
AT1G01355	AT1G01355	AT1G01355	1:138512-139568	GL_12h_control	HL_12h_treatment	NOTEST	0.0393946	0.0761895	0.951594	0	1	1	no
AT1G01360	AT1G01360	PYL9	1:141970-143183	GL_12h_control	HL_12h_treatment	OK	11.3649	9.10376	-0.320053	-1.1637	0.0954	0.220873	no
AT1G01370	AT1G01370	HTR12	1:143563-145684	GL_12h_control	HL_12h_treatment	OK	6.55007	4.33553	-0.595301	-1.74776	0.01405	0.0491044	yes
AT1G01380	AT1G01380	ETC1	1:147152-147942	GL_12h_control	HL_12h_treatment	OK	3.02071	2.07429	-0.542274	-0.995668	0.1611	0.324532	no
AT1G01390	AT1G01390	UGT72B2	1:148119-149806	GL_12h_control	HL_12h_treatment	OK	3.19742	1.81114	-0.820011	-2.39575	0.0013	0.00654124	yes
AT1G01400	AT1G01400	AT1G01400	1:150688-152210	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01410	AT1G01410	APUM22	1:153112-154198	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01420	AT1G01420	UGT72B3	1:154491-156011	GL_12h_control	HL_12h_treatment	OK	11.2587	7.41277	-0.602958	-2.35159	0.0012	0.00612088	yes
AT1G01430	AT1G01430	TBL25	1:156800-158655	GL_12h_control	HL_12h_treatment	OK	48.7517	16.6309	-1.55159	-6.74735	5e-05	0.000354903	yes
AT1G01440	AT1G01440	AT1G01440	1:159855-162572	GL_12h_control	HL_12h_treatment	OK	8.68515	7.73137	-0.167827	-0.690726	0.326	0.526319	no
AT1G01448	AT1G01448	AT1G01448	1:163418-166239	GL_12h_control	HL_12h_treatment	OK	3.08801	2.42968	-0.345912	-0.694934	0.3112	0.509789	no
AT1G01450	AT1G01450	AT1G01450	1:163418-166239	GL_12h_control	HL_12h_treatment	OK	4.13942	3.14938	-0.394361	-0.996211	0.1566	0.317901	no
AT1G01453	AT1G01453	AT1G01453	1:166588-167842	GL_12h_control	HL_12h_treatment	OK	1.56594	0.324184	-2.27214	-3.20332	0.0007	0.00382368	yes
AT1G01470	AT1G01470	LEA14	1:172145-172948	GL_12h_control	HL_12h_treatment	OK	82.2614	178.95	1.12127	4.95754	5e-05	0.000354903	yes
AT1G01471	AT1G01471	AT1G01471	1:173250-173466	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01480	AT1G01480	ACS2	1:175781-178400	GL_12h_control	HL_12h_treatment	OK	0.827603	4.44802	2.42615	6.25391	5e-05	0.000354903	yes
AT1G01490	AT1G01490	AT1G01490	1:180058-182358	GL_12h_control	HL_12h_treatment	OK	60.0957	50.7984	-0.242479	-1.07222	0.1291	0.275724	no
AT1G01500	AT1G01500	AT1G01500	1:185132-186923	GL_12h_control	HL_12h_treatment	OK	8.60284	9.52649	0.147133	0.569809	0.41865	0.615338	no
AT1G01510	AT1G01510	AN	1:187210-190056	GL_12h_control	HL_12h_treatment	OK	20.7895	18.8337	-0.142537	-0.627068	0.36485	0.565102	no
AT1G01520	AT1G01520	RVE3	1:190595-192139	GL_12h_control	HL_12h_treatment	OK	8.99337	26.1587	1.54036	5.70672	5e-05	0.000354903	yes
AT1G01530	AT1G01530	AGL28	1:192639-193670	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01540	AT1G01540	AT1G01540	1:195779-198684	GL_12h_control	HL_12h_treatment	OK	43.7169	34.1291	-0.357188	-1.58423	0.0232	0.0734871	no
AT1G01550	AT1G01550	BPS1	1:199638-201775	GL_12h_control	HL_12h_treatment	OK	97.4401	91.2432	-0.0947981	-0.424583	0.5434	0.720492	no
AT1G01560	AT1G01560	MPK11	1:202135-204335	GL_12h_control	HL_12h_treatment	OK	0.981344	2.82807	1.52699	3.57963	5e-05	0.000354903	yes
AT1G01570	AT1G01570	AT1G01570	1:205175-207435	GL_12h_control	HL_12h_treatment	OK	3.02995	6.16659	1.02518	3.3167	5e-05	0.000354903	yes
AT1G01580	AT1G01580	FRO2	1:209394-213041	GL_12h_control	HL_12h_treatment	OK	53.7967	20.398	-1.39909	-6.14005	5e-05	0.000354903	yes
AT1G01590	AT1G01590	FRO1	1:214228-217304	GL_12h_control	HL_12h_treatment	NOTEST	0.0595986	0.143474	1.26744	0	1	1	no
AT1G01600	AT1G01600	CYP86A4	1:218993-221286	GL_12h_control	HL_12h_treatment	OK	6.28331	5.59196	-0.168171	-0.655512	0.35065	0.551785	no
AT1G01610	AT1G01610	GPAT4	1:221690-224340	GL_12h_control	HL_12h_treatment	OK	55.6317	30.2727	-0.87789	-3.89631	5e-05	0.000354903	yes
AT1G01620	AT1G01620	PIP1-3	1:225664-227302	GL_12h_control	HL_12h_treatment	OK	215.354	94.5293	-1.18788	-5.22014	5e-05	0.000354903	yes
AT1G01630	AT1G01630	AT1G01630	1:229012-230917	GL_12h_control	HL_12h_treatment	OK	66.539	51.9345	-0.357505	-1.58736	0.02345	0.0741375	no
AT1G01640	AT1G01640	AT1G01640	1:230993-232508	GL_12h_control	HL_12h_treatment	OK	4.91497	6.06973	0.30445	0.925712	0.1834	0.356375	no
AT1G01650	AT1G01650	SPPL4	1:232840-237817	GL_12h_control	HL_12h_treatment	OK	14.3134	20.7794	0.537792	2.35155	0.00065	0.00357318	yes
AT1G01660	AT1G01660	PUB55	1:240056-242608	GL_12h_control	HL_12h_treatment	OK	0.946058	0.379047	-1.31955	-2.37187	0.0027	0.0122951	yes
AT1G01670	AT1G01670	PUB56	1:242842-245988	GL_12h_control	HL_12h_treatment	OK	0.832991	0.624432	-0.415756	-0.754027	0.27505	0.469837	no
AT1G01680	AT1G01680	PUB54	1:246410-248367	GL_12h_control	HL_12h_treatment	OK	0.848221	0.464763	-0.867946	-1.20279	0.0884	0.208813	no
AT1G01690	AT1G01690	ATPRD3	1:249140-252462	GL_12h_control	HL_12h_treatment	OK	4.15243	3.78398	-0.134052	-0.453376	0.5201	0.702422	no
AT1G01695	AT1G01695	AT1G01695	1:252946-254495	GL_12h_control	HL_12h_treatment	NOTEST	0.172238	0.118895	-0.534722	0	1	1	no
AT1G01700	AT1G01700	ROPGEF2	1:259494-261474	GL_12h_control	HL_12h_treatment	OK	1.11866	1.11778	-0.00112823	-0.00246246	0.9767	0.988245	no
AT1G01710	AT1G01710	AT1G01710	1:262827-267771	GL_12h_control	HL_12h_treatment	OK	12.1678	14.9747	0.299451	1.30036	0.0613	0.158094	no
AT1G01720	AT1G01720	NAC002	1:268329-270775	GL_12h_control	HL_12h_treatment	OK	24.9872	68.6637	1.45836	6.14279	5e-05	0.000354903	yes
AT1G01725	AT1G01725	AT1G01725	1:268329-270775	GL_12h_control	HL_12h_treatment	OK	13.7906	17.1576	0.315166	0.373027	0.5725	0.742732	no
AT1G01730	AT1G01730	AT1G01730	1:270955-272061	GL_12h_control	HL_12h_treatment	OK	23.152	28.1195	0.280437	1.16434	0.101	0.230182	no
AT1G01740	AT1G01740	AT1G01740	1:272110-274569	GL_12h_control	HL_12h_treatment	OK	3.91367	3.68358	-0.0874128	-0.293473	0.6811	0.821563	no
AT1G01750	AT1G01750	ADF10	1:275365-278448	GL_12h_control	HL_12h_treatment	OK	18.7552	4.77973	-1.97229	-5.35019	5e-05	0.000354903	yes
AT1G01760	AT1G01760	AT1G01760	1:275365-278448	GL_12h_control	HL_12h_treatment	OK	2.7042	2.75307	0.0258382	0.0519391	0.94065	0.972665	no
AT1G01770	AT1G01770	AT1G01770	1:278614-284245	GL_12h_control	HL_12h_treatment	OK	7.72398	8.5424	0.145297	0.511379	0.4628	0.654698	no
AT1G01780	AT1G01780	PLIM2B	1:278614-284245	GL_12h_control	HL_12h_treatment	OK	13.5188	9.45413	-0.515946	-1.23596	0.08085	0.195058	no
AT1G01790	AT1G01790	KEA1	1:284609-291094	GL_12h_control	HL_12h_treatment	OK	67.3022	60.6914	-0.149161	-0.641908	0.36085	0.561201	no
AT1G01800	AT1G01800	AT1G01800	1:293341-295040	GL_12h_control	HL_12h_treatment	OK	55.9769	76.1732	0.44445	1.97337	0.0043	0.018223	yes
AT1G01810	AT1G01810	AT1G01810	1:295220-295859	GL_12h_control	HL_12h_treatment	OK	1.00175	2.27605	1.18401	1.87963	0.01395	0.0488103	yes
AT1G01820	AT1G01820	PEX11C	1:296000-298120	GL_12h_control	HL_12h_treatment	OK	42.8051	40.2455	-0.0889552	-0.389531	0.58045	0.748449	no
AT1G01830	AT1G01830	AT1G01830	1:298534-302315	GL_12h_control	HL_12h_treatment	OK	8.23898	8.79819	0.0947405	0.387419	0.58405	0.750897	no
AT1G01840	AT1G01840	AT1G01840	1:303536-306287	GL_12h_control	HL_12h_treatment	OK	1.71717	2.25692	0.394319	0.418878	0.55055	0.726045	no
AT1G01860	AT1G01860	PFC1	1:303536-306287	GL_12h_control	HL_12h_treatment	OK	10.6087	11.3917	0.102734	0.388045	0.57875	0.747558	no
AT1G01870	AT1G01870	AT1G01870	1:306383-306456	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01880	AT1G01880	GEN1	1:306479-309109	GL_12h_control	HL_12h_treatment	OK	1.33336	1.00552	-0.407116	-1.00665	0.15255	0.311792	no
AT1G01890	AT1G01890	AT1G01890	1:309274-309347	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01900	AT1G01900	SBTI1.1	1:310315-315902	GL_12h_control	HL_12h_treatment	OK	5.89358	7.21699	0.292254	0.60687	0.38465	0.583283	no
AT1G01910	AT1G01910	AT1G01910	1:310315-315902	GL_12h_control	HL_12h_treatment	OK	36.3939	41.6312	0.193969	0.748171	0.29105	0.48773	no
AT1G01920	AT1G01920	AT1G01920	1:316127-319650	GL_12h_control	HL_12h_treatment	OK	8.45692	11.6546	0.462694	1.88867	0.00685	0.0270576	yes
AT1G01930	AT1G01930	AT1G01930	1:319835-322860	GL_12h_control	HL_12h_treatment	OK	7.17348	7.69383	0.101028	0.402807	0.56765	0.739196	no
AT1G01940	AT1G01940	CYP18-1	1:323026-324917	GL_12h_control	HL_12h_treatment	OK	17.5022	26.6079	0.604324	2.34413	0.0016	0.00782621	yes
AT1G01950	AT1G01950	ARK2	1:325378-337582	GL_12h_control	HL_12h_treatment	OK	10.3396	8.60302	-0.265266	-0.491305	0.48145	0.670023	no
AT1G01960	AT1G01960	BIG3	1:325378-337582	GL_12h_control	HL_12h_treatment	OK	25.3396	19.6376	-0.367774	-1.46466	0.0382	0.109634	no
AT1G01970	AT1G01970	AT1G01970	1:338290-340077	GL_12h_control	HL_12h_treatment	OK	23.4119	27.0062	0.20605	0.90392	0.19915	0.378424	no
AT1G01980	AT1G01980	AT1G01980	1:340171-341999	GL_12h_control	HL_12h_treatment	NOTEST	0.0467804	0.0562772	0.266646	0	1	1	no
AT1G01990	AT1G01990	AT1G01990	1:343165-344341	GL_12h_control	HL_12h_treatment	OK	14.5937	16.4781	0.175201	0.712078	0.3108	0.509443	no
AT1G02000	AT1G02000	GAE2	1:345811-347592	GL_12h_control	HL_12h_treatment	OK	8.05663	8.74778	0.11874	0.472931	0.5033	0.688832	no
AT1G02010	AT1G02010	SEC1A	1:347890-352480	GL_12h_control	HL_12h_treatment	OK	5.15253	5.59084	0.117784	0.461321	0.5117	0.695543	no
AT1G02020	AT1G02020	AT1G02020	1:352636-354969	GL_12h_control	HL_12h_treatment	OK	8.98326	10.3757	0.207891	0.867096	0.21875	0.404583	no
AT1G02030	AT1G02030	ZAT1	1:355320-357258	GL_12h_control	HL_12h_treatment	OK	0.481286	0.396956	-0.277915	-0.4777	0.50025	0.686225	no
AT1G02040	AT1G02040	AT1G02040	1:358103-359078	GL_12h_control	HL_12h_treatment	NOTEST	0.0737043	0.0246261	-1.58156	0	1	1	no
AT1G02050	AT1G02050	PKSA	1:359116-360518	GL_12h_control	HL_12h_treatment	OK	4.89442	5.23516	0.0970956	0.324861	0.64485	0.795588	no
AT1G02060	AT1G02060	AT1G02060	1:360917-363094	GL_12h_control	HL_12h_treatment	OK	3.34445	3.33995	-0.00194636	-0.00675777	0.99245	0.995496	no
AT1G02065	AT1G02065	SPL8	1:365208-367340	GL_12h_control	HL_12h_treatment	OK	1.25578	0.713835	-0.81492	-1.70142	0.01705	0.0574665	no
AT1G02070	AT1G02070	AT1G02070	1:370256-370967	GL_12h_control	HL_12h_treatment	NOTEST	0.047257	0.139477	1.56143	0	1	1	no
AT1G02074	AT1G02074	AT1G02074	1:372063-372210	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02080	AT1G02080	AT1G02080	1:373334-386847	GL_12h_control	HL_12h_treatment	OK	21.9119	23.5509	0.104066	0.455743	0.51465	0.697814	no
AT1G02090	AT1G02090	CSN7	1:387276-389647	GL_12h_control	HL_12h_treatment	OK	37.4109	52.5391	0.489932	2.13412	0.00205	0.00969962	yes
AT1G02100	AT1G02100	AT1G02100	1:389811-392816	GL_12h_control	HL_12h_treatment	OK	20.254	22.5529	0.155108	0.663681	0.35045	0.551631	no
AT1G02110	AT1G02110	AT1G02110	1:392830-395528	GL_12h_control	HL_12h_treatment	OK	13.237	10.8981	-0.2805	-1.19793	0.0897	0.211143	no
AT1G02120	AT1G02120	VAD1	1:395760-399897	GL_12h_control	HL_12h_treatment	OK	33.7894	32.6254	-0.0505748	-0.224755	0.74845	0.865581	no
AT1G02130	AT1G02130	RABD2A	1:400034-401882	GL_12h_control	HL_12h_treatment	OK	42.6139	43.9961	0.0460506	0.201789	0.7739	0.881032	no
AT1G02136	AT1G02136	AT1G02136	1:402692-402961	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02140	AT1G02140	MEE63	1:403189-404456	GL_12h_control	HL_12h_treatment	OK	142.576	143.757	0.0119021	0.053123	0.94	0.972459	no
AT1G02145	AT1G02145	ALG12	1:404599-408619	GL_12h_control	HL_12h_treatment	OK	12.705	11.5323	-0.139719	-0.581411	0.40425	0.602132	no
AT1G02150	AT1G02150	AT1G02150	1:408621-410611	GL_12h_control	HL_12h_treatment	OK	69.4962	69.1873	-0.00642623	-0.0284612	0.96905	0.984801	no
AT1G02160	AT1G02160	AT1G02160	1:410747-411597	GL_12h_control	HL_12h_treatment	OK	36.8549	35.1892	-0.0667221	-0.256833	0.71365	0.844533	no
AT1G02170	AT1G02170	AMC1	1:411778-414645	GL_12h_control	HL_12h_treatment	OK	23.9062	26.913	0.170916	0.694569	0.3236	0.523895	no
AT1G02180	AT1G02180	AT1G02180	1:411778-414645	GL_12h_control	HL_12h_treatment	OK	6.77248	5.35664	-0.338357	-0.492471	0.47035	0.661242	no
AT1G02190	AT1G02190	AT1G02190	1:415078-418010	GL_12h_control	HL_12h_treatment	NOTEST	0.106448	0.121268	0.188049	0	1	1	no
AT1G02205	AT1G02205	CER1	1:418747-422438	GL_12h_control	HL_12h_treatment	OK	24.1632	25.944	0.10259	0.454494	0.51895	0.701439	no
AT1G02210	AT1G02210	AT1G02210	1:427547-427811	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02220	AT1G02220	NAC003	1:428813-430647	GL_12h_control	HL_12h_treatment	OK	7.3927	29.0597	1.97485	7.85213	5e-05	0.000354903	yes
AT1G02228	AT1G02228	AT1G02228	1:433030-433819	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02230	AT1G02230	NAC004	1:435173-436776	GL_12h_control	HL_12h_treatment	OK	1.45004	1.69989	0.229345	0.493742	0.48245	0.670895	no
AT1G02250	AT1G02250	NAC005	1:437950-439559	GL_12h_control	HL_12h_treatment	NOTEST	0.150058	0.0214535	-2.80623	0	1	1	no
AT1G02260	AT1G02260	AT1G02260	1:440440-442877	GL_12h_control	HL_12h_treatment	OK	7.20648	8.54841	0.246361	1.00133	0.1569	0.318211	no
AT1G02270	AT1G02270	AT1G02270	1:443148-446235	GL_12h_control	HL_12h_treatment	OK	11.9469	14.7575	0.304814	1.27339	0.0736	0.181526	no
AT1G02280	AT1G02280	TOC33	1:448462-450426	GL_12h_control	HL_12h_treatment	OK	75.4301	72.678	-0.0536213	-0.239415	0.72625	0.85241	no
AT1G02290	AT1G02290	AT1G02290	1:450526-452737	GL_12h_control	HL_12h_treatment	OK	6.79181	5.45371	-0.316558	-1.18023	0.0898	0.211287	no
AT1G02300	AT1G02300	AT1G02300	1:453287-455463	GL_12h_control	HL_12h_treatment	OK	10.1612	7.0033	-0.53697	-1.97508	0.00595	0.0239678	yes
AT1G02305	AT1G02305	AT1G02305	1:455687-460696	GL_12h_control	HL_12h_treatment	OK	52.4797	63.0782	0.26538	1.17045	0.09565	0.221214	no
AT1G02310	AT1G02310	MAN1	1:455687-460696	GL_12h_control	HL_12h_treatment	OK	0.894699	1.2299	0.459071	0.228667	0.74325	0.862619	no
AT1G02330	AT1G02330	AT1G02330	1:462074-463612	GL_12h_control	HL_12h_treatment	OK	24.6019	31.2485	0.345017	1.46805	0.03845	0.110249	no
AT1G02335	AT1G02335	GL22	1:463854-464924	GL_12h_control	HL_12h_treatment	OK	21.4725	23.5499	0.133232	0.535793	0.4472	0.640541	no
AT1G02340	AT1G02340	HFR1	1:465717-467844	GL_12h_control	HL_12h_treatment	OK	1.68129	1.51387	-0.151321	-0.350358	0.62025	0.777574	no
AT1G02350	AT1G02350	AT1G02350	1:469817-470693	GL_12h_control	HL_12h_treatment	OK	2.85699	2.20652	-0.372726	-0.568073	0.4219	0.618639	no
AT1G02360	AT1G02360	AT1G02360	1:471989-473160	GL_12h_control	HL_12h_treatment	OK	20.2316	15.5772	-0.377178	-1.5165	0.03215	0.095564	no
AT1G02370	AT1G02370	AT1G02370	1:474499-476511	GL_12h_control	HL_12h_treatment	OK	4.85531	6.88673	0.504254	1.87135	0.00785	0.0303083	yes
AT1G02380	AT1G02380	AT1G02380	1:476999-478971	GL_12h_control	HL_12h_treatment	OK	3.01787	2.02827	-0.573283	-1.4661	0.0387	0.110775	no
AT1G02390	AT1G02390	GPAT2	1:480851-483292	GL_12h_control	HL_12h_treatment	OK	1.49401	5.26344	1.81681	5.45367	5e-05	0.000354903	yes
AT1G02391	AT1G02391	AT1G02391	1:483763-483919	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02400	AT1G02400	GA2OX6	1:486800-489577	GL_12h_control	HL_12h_treatment	OK	5.24898	5.90109	0.168945	0.57926	0.41035	0.607735	no
AT1G02405	AT1G02405	AT1G02405	1:489978-490505	GL_12h_control	HL_12h_treatment	OK	0.176749	0.852761	2.27044	1.90953	0.08795	0.207977	no
AT1G02410	AT1G02410	COX11	1:490924-492926	GL_12h_control	HL_12h_treatment	OK	19.4311	25.0736	0.367802	1.55233	0.02865	0.0869578	no
AT1G02420	AT1G02420	AT1G02420	1:493682-496062	GL_12h_control	HL_12h_treatment	OK	3.13068	3.17156	0.0187162	0.0539996	0.94215	0.9732	no
AT1G02430	AT1G02430	ATARFD1B	1:493682-496062	GL_12h_control	HL_12h_treatment	OK	2.07382	2.1147	0.0281611	0.0395777	0.94975	0.975992	no
AT1G02450	AT1G02450	NIMIN-1	1:497975-498516	GL_12h_control	HL_12h_treatment	OK	1.85747	0.975894	-0.928539	-1.29307	0.07655	0.187048	no
AT1G02460	AT1G02460	AT1G02460	1:504672-507204	GL_12h_control	HL_12h_treatment	OK	1.16058	3.25747	1.4889	4.08113	5e-05	0.000354903	yes
AT1G02470	AT1G02470	AT1G02470	1:511764-513624	GL_12h_control	HL_12h_treatment	OK	0.407393	1.75981	2.11093	2.77972	0.00165	0.00803979	yes
AT1G02475	AT1G02475	AT1G02475	1:513842-515404	GL_12h_control	HL_12h_treatment	OK	59.206	70.8115	0.25824	1.14164	0.10495	0.23708	no
AT1G02480	AT1G02480	AT1G02480	1:515493-515566	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02490	AT1G02490	AT1G02490	1:516617-516734	GL_12h_control	HL_12h_treatment	OK	5.37643	10.3981	0.951594	0.645264	0.34895	0.550153	no
AT1G02500	AT1G02500	SAM1	1:518250-520437	GL_12h_control	HL_12h_treatment	OK	364.482	338.625	-0.106157	-0.428302	0.5396	0.717438	no
AT1G02510	AT1G02510	TPK4	1:520497-521668	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02520	AT1G02520	ABCB11	1:523650-528745	GL_12h_control	HL_12h_treatment	OK	4.39474	29.021	2.72325	11.6199	5e-05	0.000354903	yes
AT1G02530	AT1G02530	ABCB12	1:529794-534677	GL_12h_control	HL_12h_treatment	NOTEST	0.0949032	0.137003	0.529682	0	1	1	no
AT1G02540	AT1G02540	AT1G02540	1:534826-535699	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02550	AT1G02550	AT1G02550	1:536482-537211	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G02560	AT1G02560	CLPP5	1:537859-540109	GL_12h_control	HL_12h_treatment	OK	217.276	263.494	0.278245	1.18401	0.0911	0.213437	no
